K,coherence_cv,topic_diversity,max_topic_size,max_topic_pct,min_topic_size
6,0.7522838697140873,1.0,275,53.606237816764136,
7,0.6491882681869052,0.9714285714285714,251,48.92787524366472,
8,0.6285120824541194,0.9625,256,49.902534113060426,
9,0.6896928852208388,0.9444444444444444,245,47.75828460038986,
10,0.7113970416870644,0.93,249,48.53801169590643,
11,0.7353105925199611,0.9454545454545454,155,30.214424951267056,
11,0.7353105925199611,0.9454545454545454,155,30.214424951267056,4.0
13,0.6985204623067586,0.8846153846153846,125,24.366471734892787,1.0
